column_name,count,missing,mean,std,min,p1,p5,p25,median,p75,p95,p99,max,skewness,integrity_flags
month,100000,0,6.51,3.45,1.0,1.0,1.0,4.0,7.0,10.0,12.0,12.0,12.0,-0.01,Normal
quarter,100000,0,2.51,1.12,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,-0.01,Normal
is_weekend,100000,0,0.29,0.45,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.94,Normal
is_holiday,100000,0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.91,Normal
package_weight_kg,100000,0,4.1,5.11,0.15,0.28,0.53,1.33,2.56,4.91,12.69,24.79,120.0,5.11,Highly Skewed (skew=5.11)
package_volume_cm3,100000,0,16642.66,21839.94,500.0,1041.0,2007.95,5170.0,10063.0,19624.25,52714.6,104645.29,608007.0,5.46,Highly Skewed (skew=5.46)
package_count,100000,0,1.38,0.9,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,3.52,Normal
shipment_value_inr,100000,0,13700.79,34090.76,150.0,328.34,601.4,1615.2,3803.32,10868.98,55427.22,177591.34,350000.0,6.31,Highly Skewed (skew=6.31)
origin_latitude,100000,0,20.9,5.63,9.93,9.93,12.97,17.39,21.15,26.45,28.61,30.9,30.9,-0.05,Normal
origin_longitude,100000,0,77.62,4.24,72.57,72.57,72.83,73.86,77.21,79.09,88.36,88.36,91.74,1.16,Normal
destination_latitude,100000,0,20.97,5.61,9.93,9.93,12.97,17.39,21.15,26.45,28.61,30.9,30.9,-0.09,Normal
destination_longitude,100000,0,77.72,4.34,72.57,72.57,72.83,73.86,77.21,79.09,88.36,91.74,91.74,1.15,Normal
distance_km,100000,0,1322.5,640.2,15.5,169.4,322.7,821.2,1320.0,1743.62,2366.2,2864.6,3696.3,0.24,Normal
warehouse_processing_hours,100000,0,7.11,3.54,1.5,2.2,3.0,4.7,6.4,8.7,13.8,19.1,48.0,1.72,Normal
loading_time_hours,100000,0,2.33,1.15,0.4,0.4,0.6,1.4,2.2,3.3,4.2,4.6,5.0,0.16,Normal
handling_time_hours,100000,0,1.14,0.56,0.2,0.2,0.3,0.7,1.1,1.5,2.2,2.5,2.7,0.36,Normal
customs_clearance_hours,100000,0,0.46,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,48.0,9.12,Highly Skewed (skew=9.12)
number_of_stops,100000,0,3.57,2.1,0.0,0.0,1.0,1.0,4.0,5.0,7.0,7.0,7.0,0.13,Normal
route_complexity_score,100000,0,3.43,1.04,1.0,1.35,1.82,2.59,3.39,4.31,5.0,5.0,5.0,-0.02,Normal
congestion_index,98146,1854,0.51,0.18,0.15,0.16,0.21,0.37,0.51,0.64,0.81,0.93,0.98,0.14,Normal
weather_risk_score,97697,2303,0.25,0.25,0.01,0.01,0.03,0.08,0.14,0.41,0.81,0.91,0.99,1.2,Normal
carrier_historical_delay_rate,98539,1461,0.21,0.05,0.08,0.1,0.12,0.17,0.21,0.24,0.28,0.31,0.36,-0.15,Normal
route_historical_delay_rate,98233,1767,0.27,0.06,0.06,0.13,0.17,0.22,0.27,0.31,0.37,0.41,0.45,0.07,Normal
warehouse_historical_delay_rate,100000,0,0.16,0.02,0.07,0.11,0.12,0.14,0.16,0.17,0.19,0.21,0.28,0.12,Normal
destination_historical_delay_rate,100000,0,0.21,0.05,0.07,0.11,0.13,0.17,0.2,0.23,0.31,0.35,0.41,0.67,Normal
promised_delivery_days,100000,0,3.79,2.15,0.6,0.8,1.0,2.1,3.4,5.1,7.9,10.2,16.0,0.96,Normal
actual_delivery_days,100000,0,2.49,1.45,0.25,0.61,0.77,1.36,2.3,3.23,5.06,7.29,15.87,1.53,Normal
delivery_delay_days,100000,0,0.35,0.88,0.0,0.0,0.0,0.0,0.0,0.08,2.16,4.09,13.77,3.99,Normal
is_delayed,100000,0,0.26,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.08,Normal
