feature,pearson_actual_eta,spearman_actual_eta,pearson_delay_days,spearman_delay_days,pearson_is_delayed,spearman_is_delayed
number_of_stops,0.715,0.802,0.195,0.191,0.177,0.175
route_complexity_score,0.691,0.769,0.227,0.207,0.183,0.183
route_historical_delay_rate,0.581,0.619,0.231,0.186,0.156,0.157
distance_km,0.588,0.613,0.258,0.195,0.157,0.16
loading_time_hours,0.138,0.195,0.028,0.054,0.053,0.053
congestion_index,0.212,0.182,0.147,0.136,0.131,0.128
weather_risk_score,0.287,0.163,0.232,0.143,0.169,0.13
warehouse_processing_hours,0.113,0.117,0.056,0.064,0.077,0.065
carrier_historical_delay_rate,0.068,0.064,0.041,0.042,0.04,0.04
warehouse_historical_delay_rate,0.045,0.049,0.018,0.026,0.029,0.026
handling_time_hours,0.013,0.017,0.007,0.011,0.012,0.012
shipment_value_inr,0.005,0.004,0.003,0.002,0.002,0.001
package_volume_cm3,0.005,0.002,0.004,0.003,0.004,0.003
package_weight_kg,0.003,0.0,0.003,0.002,0.001,0.002
destination_historical_delay_rate,-0.044,-0.05,-0.024,-0.015,-0.01,-0.01
