column_name,missing_count,missing_percentage,mechanism
shipment_id,0,0.0,Complete (No Missing Values)
order_date,0,0.0,Complete (No Missing Values)
pickup_datetime,0,0.0,Complete (No Missing Values)
estimated_dispatch_datetime,0,0.0,Complete (No Missing Values)
actual_dispatch_datetime,0,0.0,Complete (No Missing Values)
delivery_datetime,0,0.0,Complete (No Missing Values)
day_of_week,0,0.0,Complete (No Missing Values)
month,0,0.0,Complete (No Missing Values)
quarter,0,0.0,Complete (No Missing Values)
is_weekend,0,0.0,Complete (No Missing Values)
is_holiday,0,0.0,Complete (No Missing Values)
holiday_name,94512,94.51,Structural Missingness (Non-holiday dates)
package_weight_kg,0,0.0,Complete (No Missing Values)
package_volume_cm3,0,0.0,Complete (No Missing Values)
package_count,0,0.0,Complete (No Missing Values)
product_category,0,0.0,Complete (No Missing Values)
priority_level,0,0.0,Complete (No Missing Values)
shipment_value_inr,0,0.0,Complete (No Missing Values)
origin_city,0,0.0,Complete (No Missing Values)
origin_state,0,0.0,Complete (No Missing Values)
origin_latitude,0,0.0,Complete (No Missing Values)
origin_longitude,0,0.0,Complete (No Missing Values)
destination_city,0,0.0,Complete (No Missing Values)
destination_state,0,0.0,Complete (No Missing Values)
destination_latitude,0,0.0,Complete (No Missing Values)
destination_longitude,0,0.0,Complete (No Missing Values)
distance_km,0,0.0,Complete (No Missing Values)
delivery_zone,0,0.0,Complete (No Missing Values)
fulfillment_center,0,0.0,Complete (No Missing Values)
transport_mode,0,0.0,Complete (No Missing Values)
carrier,0,0.0,Complete (No Missing Values)
vehicle_type,0,0.0,Complete (No Missing Values)
route_type,0,0.0,Complete (No Missing Values)
warehouse_type,0,0.0,Complete (No Missing Values)
service_level,0,0.0,Complete (No Missing Values)
customer_type,0,0.0,Complete (No Missing Values)
warehouse_processing_hours,0,0.0,Complete (No Missing Values)
loading_time_hours,0,0.0,Complete (No Missing Values)
handling_time_hours,0,0.0,Complete (No Missing Values)
customs_clearance_hours,0,0.0,Complete (No Missing Values)
number_of_stops,0,0.0,Complete (No Missing Values)
route_complexity_score,0,0.0,Complete (No Missing Values)
traffic_level,1854,1.85,Sensor / Telematics Dropout (Simulated IoT outage)
congestion_index,1854,1.85,Sensor / Telematics Dropout (Simulated IoT outage)
weather_condition,2303,2.3,Sensor / Telematics Dropout (Simulated IoT outage)
weather_risk_score,2303,2.3,Sensor / Telematics Dropout (Simulated IoT outage)
road_condition,1229,1.23,Sensor / Telematics Dropout (Simulated IoT outage)
carrier_historical_delay_rate,1461,1.46,Cold-Start Prior (New lane / carrier unrecorded)
route_historical_delay_rate,1767,1.77,Cold-Start Prior (New lane / carrier unrecorded)
warehouse_historical_delay_rate,0,0.0,Complete (No Missing Values)
destination_historical_delay_rate,0,0.0,Complete (No Missing Values)
promised_delivery_days,0,0.0,Complete (No Missing Values)
actual_delivery_days,0,0.0,Complete (No Missing Values)
delivery_delay_days,0,0.0,Complete (No Missing Values)
is_delayed,0,0.0,Complete (No Missing Values)
